member_id,og_id,name,party,house,startDate,endDate
2910,542,Mr Don Touhig,Labour,1.0,1995-02-16T00:00:00,2010-05-06T00:00:00
2911,542,Mr Don Touhig,Labour,1.0,2010-06-28T00:00:00,
2912,4292,Lord Whitby,Conservative,2.0,2013-09-10T00:00:00,
2913,4343,The Earl of Oxford and Asquith,Liberal Democrat,2.0,2014-10-24T00:00:00,2019-07-31T00:00:00
2914,4343,The Earl of Oxford and Asquith,Non-affiliated,2.0,2019-08-01T00:00:00,2021-04-11T00:00:00
2915,4343,The Earl of Oxford and Asquith,Crossbench,2.0,2021-04-12T00:00:00,
2916,4764,Bell Ribeiro-Addy,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2917,4571,Gill Furniss,Labour,1.0,2016-05-05T00:00:00,2017-05-03T00:00:00
2918,4571,Gill Furniss,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2919,4571,Gill Furniss,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2920,4641,Alex Norris,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2921,4641,Alex Norris,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2922,1479,Mr Nick Herbert,Conservative,1.0,2005-05-05T00:00:00,2015-03-30T00:00:00
2923,1479,Mr Nick Herbert,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2924,1479,Mr Nick Herbert,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2925,1479,Mr Nick Herbert,Conservative,1.0,2020-09-01T00:00:00,
2926,4755,Mick Whitley,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2927,5010,Damien Egan,Labour,1.0,2024-02-15T00:00:00,2024-05-30T00:00:00
2928,3125,Baroness Smith of Gilmorehill,Labour,2.0,1995-02-17T00:00:00,
2929,4088,Stella Creasy,Labour,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
2930,4088,Stella Creasy,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2931,4088,Stella Creasy,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2932,4088,Stella Creasy,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2933,55,Mr Desmond Swayne,Conservative,1.0,1997-05-01T00:00:00,2015-03-30T00:00:00
2934,55,Mr Desmond Swayne,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2935,55,Mr Desmond Swayne,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2936,55,Mr Desmond Swayne,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2937,4980,The Lord Bishop of Sheffield,Bishops,2.0,2023-01-17T00:00:00,
2938,4503,Chris Philp,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2939,4503,Chris Philp,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2940,4503,Chris Philp,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2941,4414,Paul Scully,Conservative,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2942,4414,Paul Scully,Conservative,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2943,4414,Paul Scully,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2944,4818,Saqib Bhatti,Conservative,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2945,4882,Lord Sarfraz,Conservative,2.0,2020-09-08T00:00:00,
2946,4083,Alison McGovern,Labour,1.0,2010-05-06T00:00:00,2015-03-30T00:00:00
2947,4083,Alison McGovern,Labour,1.0,2015-05-07T00:00:00,2017-05-03T00:00:00
2948,4083,Alison McGovern,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2949,4083,Alison McGovern,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2950,215,Jean Corston,Labour,1.0,1992-04-09T00:00:00,2005-05-05T00:00:00
2951,215,Jean Corston,Labour,1.0,2005-06-29T00:00:00,
2952,4958,The Earl of Effingham,Conservative,2.0,2022-10-28T00:00:00,
2953,4981,Ashley Dalton,Labour,1.0,2023-02-09T00:00:00,2024-05-30T00:00:00
2954,1879,Lord Lucas,Conservative,2.0,1992-02-21T00:00:00,
2955,4653,Stephen Morgan,Labour,1.0,2017-06-08T00:00:00,2019-11-06T00:00:00
2956,4653,Stephen Morgan,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2957,3550,Lord Blackwell,Conservative,2.0,1997-10-02T00:00:00,
2958,4881,Baroness Morrissey,Conservative,2.0,2020-09-03T00:00:00,
2959,2685,Lord Dholakia,Liberal Democrat,2.0,1997-10-24T00:00:00,
2960,4716,Ruth Jones,Labour,1.0,2019-04-04T00:00:00,2019-11-06T00:00:00
2961,4716,Ruth Jones,Labour,1.0,2019-12-12T00:00:00,2024-05-30T00:00:00
2962,4293,Lord Purvis of Tweed,Liberal Democrat,2.0,2013-09-13T00:00:00,
2963,4700,Baroness Sater,Conservative,2.0,2018-06-20T00:00:00,
2964,2489,Baroness Massey of Darwen,Labour,2.0,1999-07-26T00:00:00,2024-04-20T00:00:00
2965,379,Mr William Hague,Conservative,1.0,1989-02-23T00:00:00,2015-03-30T00:00:00
2966,379,Mr William Hague,Conservative,1.0,2015-10-09T00:00:00,
2967,4946,Lord Remnant,Conservative,2.0,2022-07-11T00:00:00,
